name,stake,address,ip,cloud,city,country,coords,ping
Ankr,48419875.638346,/dns/sui-mainnet-validator.ankr.com/tcp/8080/http,107.6.94.244,SingleHop LLC,San Jose,US,"37.3394,-121.8950",170.0
Allnodes,44277639.0787702,/dns/sui.allnodes.me/tcp/8080/http,169.155.45.15,Allnodes Inc,Frankfurt am Main,DE,"50.1155,8.6842",0
Shinlabs,42145570.5019202,/dns/sui-mainnet.shinlabs.xyz/tcp/8080/http,43.130.123.214,"Tencent Building, Kejizhongyi Avenue",Ashburn,US,"39.0437,-77.4875",118.0
Nelrann,41574781.2910441,/dns/sui-validator.nelrann.org/tcp/8080/http,185.209.178.171,Latitude.sh,New York City,US,"40.7143,-74.0060",96.0
Bixin/ Kelepool,40882436.7187754,/dns/n1.sui.kelepool.io/tcp/8080/http,47.251.23.207,"Alibaba (US) Technology Co., Ltd.",San Jose,US,"37.3394,-121.8950",0
Cypher Capital,39803060.0650122,/dns/cypher-mainnet.juicystake.io/tcp/8080/http,69.2.39.168,REV,Gonzales,US,"30.2385,-90.9201",133.0
Coming Chat,38893339.5638357,/dns/sui-mainnet-validator.coming.chat/tcp/8080/http,167.179.89.33,"The Constant Company, LLC",Ōi,JP,"35.6090,139.7302",279.0
CogentCrypto,38619602.4189665,/dns/suinode.cogentcrypto.io/tcp/8080/http,45.250.254.99,Latitude.sh,Ashburn,US,"39.0437,-77.4875",107.0
Brightlystake,37980220.2115391,/dns/sui-mainnet.brightlystake.com/tcp/8080/http,139.84.155.177,"The Constant Company, LLC",Doddaballapura,IN,"13.2257,77.5750",148.0
Nodes.Guru,37055146.3560896,/dns/sui-validator.nodes.guru/tcp/8080/http,141.95.99.90,OVH SAS,Frankfurt am Main,DE,"50.1155,8.6842",21.0
Staked,36963025.1406955,/dns/sui-mainnet.prod-eks-eu-west-1.staked.cloud/tcp/8080/http,54.195.211.175,"Amazon.com, Inc.",Dublin,IE,"53.3331,-6.2489",0
SyncNode,36956344.2869088,/dns/suimain1.syncnode.ro/tcp/8080/http,103.50.32.122,Latitude.sh,London,GB,"51.5085,-0.1257",35.0
proofgroup,36738120.1993982,/dns/sui.obscurastaking.com/tcp/8080/http,207.53.234.207,"CoreWeave, Inc",Chicago,US,"41.8500,-87.6500",129.0
Imperator.co,36722134.0046056,/dns/sui-mainnet.imperator.co/tcp/8080/http,57.128.97.53,OVH SAS,Lille,FR,"50.6330,3.0586",27.7
Swiss Staking,36714382.7675464,/dns/sui.swiss-staking.ch/tcp/8080/http,82.220.39.51,BSE Software GmbH,Zürich,CH,"47.3667,8.5500",41.7
StakeWithUs,36668969.6978814,/dns/sui-mainnet.stakewith.us/tcp/8080/http,178.18.252.36,Contabo GmbH,Düsseldorf,DE,"51.2217,6.7762",26.9
Astro-Stakers,36586840.0209943,/dns/sui-main.astrostakers.com/tcp/8080/http,45.32.177.0,"The Constant Company, LLC",London,GB,"51.5085,-0.1257",38.6
B-harvest,36572144.4197448,/dns/sui-v.bharvest.io/tcp/8080/http,198.13.34.226,"The Constant Company, LLC",Ōi,JP,"35.6090,139.7302",288.0
SynergyNodes,36560873.2697597,/dns/sui.synergynodes.com/tcp/8080/http,194.48.168.246,Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,Frankfurt am Main,DE,"50.1155,8.6842",26.5
Noders,36326104.8710876,/dns/sui-rpc-mainnet.nodersteam.com/tcp/8080/http,149.28.137.164,"The Constant Company, LLC",Singapore,SG,"1.3215,103.6957",254.0
Gaucho,34334683.7183006,/dns/sui.wizardfiction.com/tcp/8080/http,45.250.253.97,Latitude.sh,New York City,US,"40.7143,-74.0060",95.9
Chainbase,33127379.8486066,/dns/mainnet-validator.sui.chainbase.online/tcp/8080/http,8.222.240.218,"Alibaba (US) Technology Co., Ltd.",Singapore,SG,"1.2897,103.8501",0
Studio Mirai,32012414.9713245,/dns/mainnet.validator.sm.xyz/tcp/8080/http,79.127.216.34,Datacamp Limited,Frankfurt am Main,DE,"50.1155,8.6842",26.8
Peeranha,31702273.8111732,/dns/sui-validator.peeranha.io/tcp/8080/http,45.250.253.92,Latitude.sh,New York City,US,"40.7143,-74.0060",96.0
InfStones,31680202.580786,/dns/prod.sui.infstones.io/tcp/8080/http,150.136.151.212,Oracle Corporation,Ashburn,US,"39.0437,-77.4875",0
Anchorage Digital-1,31525776.3608716,/dns/sui.harbor.chorus.one/tcp/8080/http,198.244.253.76,OVH SAS,Bexley,GB,"51.4416,0.1487",31.6
Neuler,31293110.0837693,/dns/sui.validator.neuler.xyz/tcp/8080/http,103.219.171.15,Latitude.sh,Frankfurt am Main,DE,"50.1155,8.6842",0
Sentio,31214005.8712611,/dns/sui-mainnet-validator.sentio.xyz/tcp/8080/http,131.153.238.118,SECURED SERVERS LLC,Ashburn,US,"39.0437,-77.4875",105.0
ZKV,30810939.1416782,/dns/validator.mainnet.sui.zkvalidator.com/tcp/8080/http,65.21.128.113,Hetzner Online GmbH,Helsinki,FI,"60.1695,24.9354",0.231
Suiet,30791634.8620059,/dns/mainnet-validator.suiet.app/tcp/8080/http,15.235.214.130,OVH SAS,Singapore,SG,"1.2897,103.8501",191.0
Omnistake,29396397.1297876,/dns/sui.omnistake.com/tcp/8080/http,18.188.215.65,"Amazon.com, Inc.",Columbus,US,"39.9612,-82.9988",0
XPRV,29197983.531408,/dns/sui.xprv.io/tcp/8080/http,54.38.136.66,OVH SAS,Warsaw,PL,"52.2284,21.0522",0
gumi,28843157.52549,/dns/mainnet.sui.gu3.jp/tcp/8080/http,13.230.215.202,"Amazon.com, Inc.",Tokyo,JP,"35.6895,139.6917",0
BLRD,28726866.9736928,/dns/validator-sui-mainnet.blrd.inc/tcp/8080/http,35.213.112.171,Google LLC,Tokyo,JP,"35.6895,139.6917",255.0
Stakely,28462138.3927268,/dns/sui.stakely.io/tcp/8080/http,,,,,"45.5088,-73.5878",0
HashQuark,28421380.3528196,/dns/sui.hashkey.cloud/tcp/8080/http,13.228.138.28,"Amazon.com, Inc.",Singapore,SG,"1.2897,103.8501",0
Juicy Stake,28312188.0073226,/dns/juicy-sui-main.juicystake.io/tcp/8080/http,69.2.39.167,REV,Gonzales,US,"30.2385,-90.9201",133.0
QuantNode,28305867.8571753,/dns/validator.sui.quantnode.tech/tcp/8080/http,103.50.32.129,Latitude.sh,London,GB,"51.5085,-0.1257",35.0
TDMTech,28282796.5847974,/dns/sui-tdmtech-validator.ankr.com/tcp/8080/http,109.123.108.59,UK-2 Limited,London,GB,"51.5085,-0.1257",36.7
Node Guardians,28281813.3588327,/dns/sui.nodeguardians.io/tcp/8080/http,51.222.152.21,OVH SAS,Beauharnois,CA,"45.3134,-73.8725",0
Moonlet,28245721.4120655,/dns/sui-mainnet.moonlet.network/tcp/8080/http,103.219.171.14,Latitude.sh,Frankfurt am Main,DE,"50.1155,8.6842",0
Forbole,28245360.6322803,/dns/sui-mainnet.forbole.com/tcp/8080/http,5.10.24.66,Amito Ltd,London,GB,"51.5085,-0.1257",37.3
Parasol,28237531.6942246,/dns/mainnet.parasolsui.com/tcp/8080/http,43.130.125.249,"Tencent Building, Kejizhongyi Avenue",Ashburn,US,"39.0437,-77.4875",118.0
H2O Nodes,28222928.0542825,/dns/sui-mainnet.h2o-nodes.com/tcp/8080/http,185.125.95.23,uvensys GmbH,Frankfurt am Main,DE,"50.1155,8.6842",0
A41,28215809.3441803,/dns/validator.sui.a41.io/tcp/8080/http,195.201.186.66,Hetzner Online GmbH,Nürnberg,DE,"49.4542,11.0775",0
Latitude.sh,27136610.6957286,/dns/sui.manystake.com/tcp/8080/http,103.219.168.185,Latitude.sh,London,GB,"51.5085,-0.1257",0
BlockEden.xyz,26365837.8652569,/dns/sui-mainnet-validator.blockeden.xyz/tcp/8080/http,34.168.101.125,Google LLC,The Dalles,US,"45.5946,-121.1787",161.0
NodeReal,24949055.5762792,/dns/sui-mainnet-validator.nodereal.io/tcp/8080/http,3.216.88.226,"Amazon.com, Inc.",Ashburn,US,"39.0437,-77.4875",0
SenseiNode,21159666.0466263,/dns/sui-mainnet.senseinode.com/tcp/8080/http,69.67.148.48,Latitude.sh,Santiago de Querétaro,MX,"20.5881,-100.3881",181.0
